case k ax ay az nod lp_f lp_v cnt
still 46 54 16400 62 0 -3 16371 0
still 47 8 16395 7 0 -4 16374 0
still 48 -35 16356 -7 0 -3 16371 0
still 49 -6 16336 116 0 -18 16366 0
still 50 -48 16369 120 0 -31 16366 0
still 51 -32 16422 32 0 -32 16373 0
still 52 -10 16314 -76 0 -19 16365 0
still 53 0 16405 -106 0 -4 16370 0
still 54 8 16352 44 0 -9 16367 0
still 55 9 16345 -21 0 -6 16364 0
still 56 2 16450 150 0 -24 16374 0
still 57 18 16390 35 0 -26 16376 0
still 58 2 16419 23 0 -26 16381 0
still 59 4 16349 12 0 -25 16377 0
still 60 49 16392 79 0 -32 16378 0
still 61 51 16382 90 0 -40 16378 0
still 62 -50 16446 96 0 -47 16386 0
still 63 -7 16384 51 0 -48 16385 0
still 64 76 16411 17 0 -45 16388 0
still 65 51 16403 -54 0 -33 16389 0
still 66 -3 16389 -68 0 -21 16389 0
still 67 25 16353 42 0 -24 16384 0
still 68 -67 16345 -66 0 -13 16379 0
still 69 69 16452 78 0 -22 16388 0
still 70 78 16434 50 0 -26 16393 0
still 71 -78 16406 -19 0 -21 16394 0
still 72 -10 16329 70 0 -28 16385 0
still 73 14 16317 31 0 -29 16376 0
still 74 2 16338 -11 0 -24 16371 0
still 75 -34 16274 -72 0 -12 16358 0
still 76 27 16402 14 0 -13 16363 0
still 77 -57 16355 3 0 -12 16362 0
still 78 34 16343 -52 0 -4 16359 0
still 79 56 16387 -19 0 -2 16362 0
still 80 -36 16352 78 0 -12 16360 0
still 81 48 16363 -62 0 -3 16360 0
still 82 82 16461 59 0 -10 16372 0
still 83 41 16291 -63 0 -1 16361 0
still 84 28 16370 13 0 -3 16362 0
still 85 -26 16352 27 0 -6 16360 0
still 86 -20 16384 13 0 -7 16363 0
still 87 11 16441 67 0 -15 16372 0
still 88 -67 16371 -32 0 -10 16371 0
still 89 37 16331 38 0 -14 16366 0
still 90 34 16412 -48 0 -7 16371 0
still 91 -11 16331 19 0 -9 16366 0
still 92 47 16309 -41 0 -3 16358 0
still 93 -8 16358 73 0 -12 16358 0
still 94 -7 16396 -55 0 -4 16362 0
still 95 76 16392 38 0 -9 16365 0
still 96 4 16280 -79 0 2 16354 0
still 97 -63 16407 -25 0 4 16360 0
still 98 21 16398 12 0 2 16364 0
still 99 45 16393 -81 0 11 16367 0
still 100 -33 16466 -53 0 16 16379 0
still 101 67 16465 -29 0 17 16389 0
still 102 17 16315 38 0 10 16379 0
still 103 -38 16320 -19 0 11 16371 0
still 104 -22 16355 10 0 8 16369 0
still 105 -8 16351 47 0 1 16366 0
still 106 119 16387 -35 0 5 16368 0
still 107 -49 16413 -13 0 6 16373 0
still 108 1 16286 -56 0 12 16362 0
still 109 -57 16430 -13 0 12 16370 0
still 110 -122 16408 56 0 3 16374 0
still 111 64 16246 8 0 1 16358 0
still 112 40 16414 -12 0 2 16365 0
still 113 -89 16363 -16 0 3 16364 0
still 114 28 16415 -12 0 4 16370 0
still 115 42 16332 -34 0 7 16365 0
still 116 -2 16412 -16 0 8 16370 0
still 117 60 16404 -47 0 12 16374 0
still 118 4 16340 -47 0 16 16369 0
still 119 -70 16453 45 0 8 16379 0
still 120 -79 16439 47 0 1 16386 0
still 121 -18 16409 110 0 -13 16388 0
still 122 14 16405 55 0 -19 16390 0
still 123 -51 16322 -69 0 -8 16381 0
still 124 -4 16427 -42 0 -2 16386 0
still 125 -67 16395 -17 0 0 16387 0
still 126 31 16379 -7 0 0 16386 0
still 127 -2 16388 -45 0 5 16386 0
still 128 -53 16464 154 0 -15 16395 0
still 129 57 16306 4 0 -14 16383 0
still 130 61 16307 -21 0 -10 16373 0
still 131 -18 16342 -39 0 -4 16369 0
still 132 52 16364 -8 0 -3 16368 0
still 133 87 16345 -91 0 8 16365 0
still 134 35 16486 13 0 5 16380 0
still 135 18 16323 -43 0 9 16372 0
still 136 75 16449 32 0 3 16381 0
still 137 -29 16328 -49 0 8 16374 0
still 138 -55 16416 -37 0 11 16379 0
still 139 -23 16420 34 0 5 16384 0
still 140 4 16408 1 0 4 16387 0
still 141 -95 16381 -21 0 6 16386 0
still 142 -17 16396 -28 0 8 16387 0
still 143 60 16376 8 0 6 16385 0
still 144 16 16376 32 0 1 16383 0
still 145 37 16415 -35 0 5 16387 0
still 146 -45 16354 0 0 4 16382 0
still 147 -93 16341 -58 0 10 16376 0
still 148 -34 16337 39 0 3 16371 0
still 149 21 16430 -50 0 8 16378 0
still 150 -40 16368 81 0 -4 16376 0
still 151 82 16353 30 0 -8 16373 0
still 152 105 16333 -10 0 -6 16368 0
still 153 63 16419 -49 0 0 16374 0
still 154 74 16432 34 0 -5 16381 0
still 155 -61 16376 65 0 -13 16380 0
still 156 24 16423 -13 0 -10 16385 0
still 157 74 16372 45 0 -15 16383 0
still 158 16 16336 73 0 -23 16377 0
still 159 -62 16348 7 0 -21 16373 0
still 160 -69 16295 -6 0 -18 16363 0
still 161 -21 16370 24 0 -19 16363 0
still 162 111 16363 120 0 -32 16363 0
still 163 11 16379 -134 0 -12 16365 0
still 164 -76 16396 26 0 -14 16368 0
still 165 -42 16398 43 0 -18 16371 0
still 166 -29 16303 -50 0 -10 16362 0
still 167 -17 16396 36 0 -14 16366 0
still 168 -48 16384 -15 0 -11 16368 0
still 169 0 16436 62 0 -18 16376 0
still 170 -25 16352 -36 0 -12 16373 0
still 171 -28 16362 -10 0 -10 16371 0
still 172 -27 16329 -59 0 -2 16365 0
still 173 1 16502 26 0 -5 16382 0
still 174 30 16400 -10 0 -4 16384 0
still 175 97 16367 -50 0 2 16381 0
still 176 -62 16392 -51 0 8 16382 0
still 177 -45 16340 -66 0 15 16376 0
still 178 7 16300 111 0 -1 16366 0
still 179 -137 16314 2 0 -2 16359 0
still 180 19 16366 13 0 -4 16359 0
still 181 8 16389 28 0 -7 16362 0
still 182 11 16379 -7 0 -6 16364 0
still 183 43 16375 28 0 -9 16365 0
still 184 78 16403 60 0 -16 16369 0
still 185 -21 16398 25 0 -18 16372 0
still 186 12 16408 70 0 -25 16376 0
still 187 -15 16351 16 0 -24 16372 0
still 188 -71 16383 59 0 -29 16373 0
still 189 -1 16411 19 0 -28 16377 0
still 190 59 16409 10 0 -26 16381 0
still 191 -164 16358 35 0 -28 16378 0
still 192 -7 16347 44 0 -30 16374 0
still 193 -44 16366 32 0 -31 16373 0
still 194 -27 16391 -3 0 -27 16375 0
still 195 -61 16356 -20 0 -22 16372 0
still 196 -34 16435 -4 0 -19 16379 0
still 197 -34 16313 -19 0 -15 16370 0
still 198 61 16366 34 0 -18 16369 0
still 199 19 16355 -50 0 -10 16367 0
still 200 23 16298 25 0 -12 16358 0
still 201 -62 16423 -22 0 -8 16366 0
still 202 -7 16433 -52 0 -1 16374 0
still 203 0 16366 22 0 -4 16373 0
still 204 33 16396 8 0 -5 16375 0
still 205 -22 16411 -14 0 -3 16379 0
still 206 4 16391 -69 0 6 16380 0
still 207 -58 16393 -3 0 5 16381 0
still 208 60 16263 8 0 3 16366 0
still 209 52 16387 37 0 -2 16368 0
still 210 -1 16380 43 0 -8 16369 0
still 211 -65 16273 22 0 -10 16357 0
still 212 4 16388 13 0 -11 16360 0
still 213 29 16360 22 0 -13 16360 0
still 214 14 16326 -9 0 -11 16355 0
still 215 12 16344 50 0 -16 16353 0
still 216 -16 16422 70 0 -23 16361 0
still 217 -73 16318 28 0 -24 16355 0
still 218 -10 16408 84 0 -32 16361 0
still 219 -24 16426 -13 0 -27 16369 0
still 220 -32 16407 12 0 -26 16373 0
still 221 52 16399 42 0 -28 16376 0
still 222 25 16300 -18 0 -23 16366 0
still 223 -16 16428 -51 0 -14 16373 0
still 224 9 16364 -89 0 -2 16371 0
still 225 -7 16415 -18 0 0 16376 0
still 226 45 16403 15 0 -2 16379 0
still 227 -25 16376 23 0 -5 16378 0
still 228 1 16324 -8 0 -4 16371 0
still 229 20 16439 41 0 -9 16379 0
still 230 -48 16418 -79 0 2 16383 0
still 231 -32 16344 75 0 -8 16378 0
still 232 34 16399 -30 0 -4 16380 0
still 233 61 16372 23 0 -7 16379 0
still 234 54 16370 27 0 -10 16377 0
still 235 -97 16413 -83 0 1 16381 0
still 236 21 16399 24 0 -3 16383 0
still 237 114 16263 23 0 -6 16368 0
still 238 -19 16422 16 0 -8 16374 0
still 239 6 16360 -34 0 -3 16372 0
still 240 18 16311 54 0 -10 16364 0
still 241 -27 16408 -57 0 -2 16369 0
still 242 24 16374 39 0 -7 16369 0
still 243 61 16359 6 0 -7 16367 0
still 244 13 16457 -62 0 1 16378 0
still 245 31 16384 -58 0 8 16378 0
still 246 -15 16353 56 0 0 16374 0
still 247 -45 16436 -21 0 2 16381 0
still 248 35 16302 -36 0 6 16371 0
still 249 10 16341 -75 0 14 16367 0
still 250 3 16424 2 0 12 16374 0
still 251 -9 16406 -19 0 12 16378 0
still 252 47 16440 -61 0 18 16385 0
still 253 53 16419 16 0 13 16389 0
still 254 36 16456 97 0 -1 16397 0
still 255 82 16374 68 0 -10 16394 0
still 256 -80 16431 37 0 -14 16398 0
still 257 51 16343 74 0 -22 16391 0
still 258 66 16397 -67 0 -11 16391 0
still 259 19 16345 -74 0 -1 16385 0
still 260 -32 16502 -70 0 7 16399 0
still 261 -15 16395 48 0 0 16398 0
still 262 -48 16337 45 0 -6 16390 0
still 263 14 16445 -57 0 1 16396 0
still 264 -5 16430 6 0 0 16400 0
still 265 -55 16390 -93 0 11 16398 0
still 266 -38 16422 43 0 4 16401 0
still 267 19 16417 -74 0 12 16403 0
still 268 -33 16435 112 0 -4 16407 0
still 269 21 16338 -48 0 2 16398 0
still 270 58 16437 -60 0 9 16402 0
still 271 6 16451 68 0 -1 16408 0
still 272 -26 16375 22 0 -4 16403 0
still 273 -54 16304 -34 0 0 16390 0
still 274 59 16437 23 0 -3 16395 0
still 275 -58 16287 -52 0 3 16381 0
still 276 0 16433 -46 0 8 16387 0
still 277 1 16293 -107 0 20 16375 0
still 278 -4 16322 -55 0 24 16368 0
still 279 -116 16419 -93 0 32 16374 0
still 280 -4 16305 -25 0 31 16365 0
still 281 59 16389 -1 0 27 16368 0
still 282 37 16404 62 0 15 16372 0
still 283 -78 16444 -3 0 13 16381 0
still 284 -57 16408 21 0 8 16384 0
still 285 -6 16421 -70 0 15 16388 0
still 286 -87 16350 49 0 7 16383 0
still 287 21 16379 -36 0 10 16382 0
still 288 -5 16437 -31 0 12 16388 0
still 289 -33 16402 28 0 7 16389 0
still 290 4 16451 7 0 5 16396 0
still 291 -50 16274 56 0 -3 16380 0
still 292 -10 16398 21 0 -6 16382 0
still 293 65 16434 48 0 -12 16388 0
still 294 14 16373 13 0 -13 16386 0
still 295 -40 16403 53 0 -18 16388 0
still 296 36 16392 -42 0 -11 16388 0
still 297 -42 16349 -19 0 -8 16383 0
still 298 23 16409 29 0 -11 16386 0
still 299 50 16337 -10 0 -9 16379 0
still 300 27 16424 -32 0 -4 16384 0
still 301 -33 16441 34 0 -8 16391 0
still 302 23 16371 -46 0 -2 16388 0
still 303 -1 16400 25 0 -5 16389 0
still 304 43 16390 62 0 -13 16389 0
still 305 -16 16401 4 0 -12 16390 0
still 306 -87 16321 -25 0 -8 16381 0
still 307 8 16401 63 0 -15 16383 0
still 308 0 16368 16 0 -16 16381 0
still 309 -59 16375 -49 0 -8 16380 0
still 310 3 16350 -21 0 -5 16376 0
still 311 93 16438 121 0 -20 16383 0
still 312 9 16375 -39 0 -13 16382 0
still 313 -2 16298 4 0 -12 16371 0
still 314 -28 16318 -89 0 0 16364 0
still 315 -45 16363 -3 0 0 16363 0
still 316 -81 16380 14 0 -2 16365 0
still 317 107 16401 44 0 -8 16369 0
still 318 -36 16383 -36 0 -3 16370 0
still 319 -42 16407 -12 0 -2 16374 0
still 320 71 16382 20 0 -5 16375 0
still 321 -60 16335 32 0 -9 16370 0
still 322 -34 16446 -40 0 -3 16379 0
still 323 -44 16478 -84 0 7 16391 0
still 324 -25 16409 29 0 2 16393 0
still 325 -56 16489 -22 0 4 16405 0
still 326 -94 16428 -24 0 6 16407 0
still 327 3 16421 -44 0 10 16408 0
still 328 -35 16379 41 0 3 16404 0
still 329 -65 16455 18 0 0 16410 0
still 330 -55 16386 28 0 -4 16407 0
still 331 60 16426 55 0 -11 16409 0
still 332 -7 16420 -130 0 6 16410 0
still 333 49 16382 78 0 -5 16406 0
still 334 -29 16361 2 0 -5 16400 0
still 335 40 16400 51 0 -11 16400 0
still 336 3 16435 138 0 -27 16404 0
still 337 61 16415 -71 0 -15 16405 0
still 338 32 16438 -8 0 -13 16409 0
still 339 52 16278 -33 0 -8 16392 0
still 340 -45 16411 -39 0 -3 16394 0
still 341 -46 16457 -70 0 6 16401 0
still 342 26 16439 -13 0 6 16405 0
still 343 -44 16375 -28 0 8 16401 0
still 344 -38 16396 -2 0 7 16400 0
still 345 154 16448 10 0 4 16406 0
still 346 29 16468 59 0 -4 16413 0
still 347 4 16347 88 0 -15 16404 0
still 348 1 16397 68 0 -22 16403 0
still 349 11 16449 -13 0 -18 16408 0
still 350 11 16376 104 0 -29 16404 0
still 351 -70 16376 -42 0 -21 16400 0
still 352 -35 16321 -40 0 -14 16390 0
still 353 60 16455 -32 0 -9 16398 0
still 354 -60 16360 80 0 -18 16393 0
still 355 -4 16279 41 0 -21 16378 0
still 356 -7 16414 19 0 -21 16382 0
still 357 -65 16433 32 0 -23 16388 0
still 358 -34 16271 -58 0 -13 16373 0
still 359 -57 16417 -30 0 -8 16378 0
still 360 -23 16384 -23 0 -5 16378 0
still 361 18 16398 45 0 -10 16380 0
still 362 -62 16400 -15 0 -7 16382 0
still 363 103 16455 -21 0 -4 16391 0
still 364 46 16297 -53 0 3 16379 0
still 365 -14 16396 -55 0 9 16381 0
still 366 1 16445 -80 0 17 16389 0
still 367 -67 16289 55 0 8 16376 0
still 368 -54 16364 -45 0 12 16374 0
still 369 -6 16366 8 0 9 16373 0
still 370 7 16461 -48 0 13 16384 0
still 371 7 16378 -47 0 17 16383 0
still 372 39 16472 -57 0 22 16394 0
still 373 118 16374 -7 0 20 16391 0
still 374 -131 16385 -9 0 18 16390 0
still 375 -15 16414 -11 0 17 16393 0
still 376 15 16349 -58 0 22 16387 0
still 377 3 16410 31 0 15 16389 0
still 378 3 16345 0 0 13 16383 0
still 379 -15 16320 14 0 9 16375 0
still 380 -11 16327 -17 0 10 16369 0
still 381 27 16455 -92 0 20 16379 0
still 382 -20 16409 55 0 10 16382 0
still 383 17 16331 -27 0 12 16375 0
still 384 -4 16343 -55 0 17 16371 0
still 385 -66 16507 -1 0 15 16388 0
still 386 -14 16416 1 0 13 16391 0
still 387 -9 16393 -39 0 16 16391 0
still 388 -22 16427 29 0 10 16395 0
still 389 -55 16457 -21 0 11 16402 0
still 390 -79 16418 31 0 5 16404 0
still 391 15 16335 58 0 -3 16395 0
still 392 25 16401 11 0 -4 16395 0
still 393 18 16493 -24 0 -1 16407 0
still 394 15 16440 40 0 -6 16411 0
still 395 -37 16380 -17 0 -4 16407 0
still 396 -70 16376 49 0 -10 16403 0
still 397 16 16440 23 0 -12 16407 0
still 398 -33 16412 -84 0 0 16407 0
still 399 63 16366 82 0 -11 16401 0
still 400 -67 16337 -21 0 -7 16393 0
still 401 -13 16306 -63 0 1 16382 0
still 402 23 16343 42 0 -5 16377 0
still 403 80 16311 -20 0 -2 16368 0
still 404 85 16437 -67 0 6 16376 0
still 405 18 16466 -106 0 18 16387 0
still 406 18 16437 -24 0 18 16393 0
still 407 -31 16421 -78 0 25 16396 0
still 408 28 16445 5 0 21 16402 0
still 409 -77 16463 -1 0 18 16409 0
still 410 28 16341 -4 0 16 16400 0
still 411 55 16309 -65 0 22 16388 0
still 412 -103 16406 22 0 16 16390 0
still 413 -43 16400 1 0 13 16391 0
still 414 96 16324 12 0 9 16382 0
still 415 -22 16474 22 0 5 16393 0
still 416 -60 16405 -9 0 5 16394 0
still 417 -48 16403 6 0 3 16395 0
still 418 -59 16360 56 0 -5 16390 0
still 419 48 16376 -19 0 -2 16388 0
still 420 12 16377 -61 0 5 16386 0
still 421 30 16343 71 0 -5 16380 0
still 422 28 16418 -17 0 -3 16384 0
still 423 7 16354 -21 0 0 16380 0
still 424 -52 16453 -57 0 7 16389 0
still 425 83 16420 -46 0 11 16392 0
still 426 64 16404 -40 0 14 16393 0
still 427 12 16367 -38 0 17 16389 0
still 428 -3 16397 -16 0 16 16390 0
still 429 -2 16423 -6 0 14 16394 0
still 430 -19 16320 -3 0 12 16384 0
still 431 -23 16373 39 0 5 16382 0
still 432 43 16386 -28 0 7 16382 0
still 433 7 16400 13 0 4 16384 0
still 434 -70 16400 -49 0 9 16386 0
still 435 16 16405 8 0 6 16388 0
still 436 59 16385 16 0 3 16387 0
still 437 -43 16379 -11 0 4 16386 0
still 438 3 16376 -116 0 18 16384 0
still 439 40 16418 -102 0 28 16388 0
still 440 13 16434 36 0 20 16393 0
still 441 35 16375 -25 0 20 16390 0
still 442 94 16406 81 0 7 16392 0
still 443 -3 16430 41 0 1 16396 0
still 444 40 16326 118 0 -14 16387 0
still 445 16 16369 16 0 -15 16384 0
still 446 -85 16454 -17 0 -11 16392 0
still 447 16 16395 -84 0 0 16392 0
still 448 -14 16448 -36 0 4 16399 0
still 449 15 16436 81 0 -7 16403 0
still 450 -38 16438 37 0 -11 16407 0
still 451 30 16435 40 0 -15 16410 0
still 452 -44 16412 -26 0 -10 16410 0
still 453 20 16368 77 0 -19 16404 0
still 454 50 16413 -29 0 -13 16405 0
still 455 25 16335 -38 0 -7 16396 0
still 456 -77 16431 -20 0 -4 16400 0
still 457 49 16444 54 0 -11 16405 0
still 458 -15 16460 62 0 -18 16411 0
still 459 -57 16407 -34 0 -12 16410 0
still 460 -1 16448 21 0 -14 16414 0
still 461 83 16420 42 0 -18 16414 0
still 462 87 16450 45 0 -22 16418 0
still 463 72 16449 -61 0 -12 16421 0
still 464 -44 16394 59 0 -18 16417 0
still 465 -30 16308 3 0 -17 16403 0
still 466 -24 16461 -110 0 -2 16410 0
still 467 45 16421 -126 0 14 16411 0
still 468 -45 16376 22 0 9 16406 0
still 469 5 16418 14 0 6 16407 0
still 470 -35 16469 18 0 3 16414 0
still 471 -38 16412 -3 0 3 16413 0
still 472 -17 16357 -69 0 11 16406 0
still 473 -40 16325 -93 0 21 16395 0
still 474 27 16402 -7 0 19 16395 0
still 475 -51 16349 80 0 6 16389 0
still 476 -39 16429 20 0 2 16394 0
still 477 28 16364 -8 0 2 16390 0
still 478 0 16334 70 0 -7 16383 0
still 479 -37 16396 90 0 -18 16384 0
still 480 76 16358 28 0 -20 16380 0
still 481 53 16291 104 0 -31 16368 0
still 482 30 16373 -1 0 -27 16368 0
still 483 -106 16422 81 0 -34 16374 0
still 484 -5 16466 37 0 -35 16385 0
still 485 -62 16415 -96 0 -19 16388 0
still 486 -89 16419 31 0 -21 16391 0
still 487 -1 16382 -72 0 -10 16389 0
still 488 53 16386 -7 0 -8 16388 0
still 489 180 16401 3 0 -8 16389 0
still 490 103 16403 -19 0 -5 16390 0
still 491 81 16382 -34 0 -1 16389 0
still 492 -12 16391 52 0 -8 16389 0
still 493 69 16331 69 0 -16 16381 0
still 494 -25 16368 -122 0 1 16379 0
still 495 87 16419 -4 0 1 16384 0
still 496 -2 16439 7 0 0 16390 0
still 497 -140 16404 5 0 -1 16391 0
still 498 13 16393 49 0 -7 16391 0
still 499 -30 16504 13 0 -8 16405 0
still 500 -30 16395 -79 0 2 16403 0
still 501 -2 16353 -43 0 7 16396 0
still 502 46 16404 -42 0 11 16397 0
still 503 -25 16406 119 0 -6 16398 0
still 504 0 16382 29 0 -9 16396 0
still 505 -57 16384 41 0 -13 16394 0
still 506 25 16406 -55 0 -5 16395 0
still 507 7 16461 138 0 -22 16403 0
still 508 55 16364 -16 0 -18 16398 0
still 509 -2 16496 -60 0 -9 16410 0
still 510 -4 16308 -14 0 -7 16397 0
still 511 -8 16435 46 0 -12 16401 0
still 512 17 16377 -14 0 -9 16398 0
still 513 88 16385 -49 0 -2 16396 0
still 514 -31 16392 -33 0 2 16395 0
still 515 -72 16436 -29 0 5 16400 0
still 516 -1 16394 -8 0 5 16399 0
still 517 -3 16261 7 0 3 16381 0
still 518 -7 16368 1 0 2 16379 0
still 519 114 16471 41 0 -4 16390 0
still 520 82 16368 2 0 -4 16387 0
still 521 28 16433 46 0 -10 16392 0
still 522 96 16382 72 0 -18 16390 0
still 523 -26 16416 -43 0 -11 16393 0
still 524 67 16363 70 0 -19 16389 0
still 525 -90 16479 4 0 -18 16400 0
still 526 27 16403 -78 0 -6 16400 0
still 527 -25 16358 0 0 -6 16394 0
still 528 -73 16356 8 0 -7 16389 0
still 529 60 16424 -55 0 0 16393 0
still 530 46 16467 42 0 -6 16402 0
still 531 -13 16343 -17 0 -4 16394 0
still 532 85 16338 -119 0 11 16387 0
still 533 49 16356 1 0 9 16383 0
still 534 -16 16443 -15 0 9 16390 0
still 535 -32 16348 91 0 -4 16384 0
still 536 78 16370 -20 0 -1 16382 0
still 537 -1 16417 -37 0 3 16386 0
still 538 81 16403 -125 0 18 16388 0
still 539 -47 16374 124 0 0 16386 0
still 540 84 16399 -52 0 6 16387 0
still 541 1 16390 -19 0 7 16387 0
still 542 10 16422 -21 0 8 16391 0
still 543 -54 16393 -76 0 16 16391 0
still 544 -22 16443 9 0 12 16397 0
still 545 -61 16380 -16 0 12 16394 0
still 546 3 16431 -29 0 14 16398 0
still 547 -65 16458 -46 0 18 16405 0
still 548 27 16401 -19 0 18 16404 0
still 549 25 16398 7 0 14 16403 0
still 550 35 16346 44 0 6 16395 0
still 551 -44 16431 65 0 -3 16399 0
still 552 -42 16480 -33 0 1 16409 0
still 553 -5 16341 -17 0 3 16400 0
still 554 1 16351 45 0 -3 16393 0
still 555 -42 16397 -56 0 4 16393 0
still 556 -49 16386 11 0 2 16392 0
still 557 -22 16396 19 0 -1 16392 0
still 558 -37 16382 -46 0 4 16390 0
still 559 -68 16351 -15 0 5 16385 0
still 560 55 16406 3 0 4 16387 0
still 561 -109 16336 22 0 0 16380 0
still 562 27 16382 -61 0 7 16380 0
still 563 -98 16300 6 0 5 16370 0
still 564 18 16471 -34 0 8 16382 0
still 565 15 16345 -10 0 8 16377 0
still 566 4 16358 70 0 -2 16374 0
still 567 -54 16423 -10 0 -1 16380 0
still 568 -24 16435 -29 0 2 16386 0
still 569 15 16385 36 0 -3 16385 0
still 570 -57 16399 25 0 -6 16386 0
still 571 -31 16336 -49 0 0 16379 0
still 572 -1 16347 28 0 -4 16375 0
still 573 -5 16372 -1 0 -4 16374 0
still 574 4 16390 30 0 -8 16376 0
still 575 58 16406 27 0 -11 16379 0
still 576 76 16461 6 0 -11 16389 0
still 577 -50 16445 -36 0 -6 16396 0
still 578 -34 16347 -14 0 -4 16389 0
still 579 -112 16362 58 0 -11 16385 0
still 580 129 16410 43 0 -15 16388 0
still 581 48 16360 -42 0 -8 16384 0
still 582 23 16444 12 0 -9 16391 0
still 583 22 16388 -1 0 -8 16390 0
still 584 -20 16443 48 0 -13 16396 0
still 585 0 16404 37 0 -16 16397 0
still 586 62 16486 93 0 -26 16408 0
still 587 8 16404 -5 0 -23 16407 0
still 588 46 16446 -71 0 -12 16411 0
still 589 14 16463 -62 0 -3 16417 0
still 590 83 16447 -17 0 -1 16420 0
still 591 -42 16476 -11 0 0 16427 0
still 592 -55 16394 -61 0 7 16422 0
still 593 -43 16476 -16 0 8 16428 0
still 594 -2 16307 -39 0 11 16412 0
still 595 54 16407 55 0 2 16411 0
still 596 51 16398 -18 0 4 16409 0
still 597 -104 16440 8 0 2 16412 0
still 598 129 16380 -4 0 2 16408 0
still 599 -21 16326 3 0 1 16397 0
still 600 18 16397 -12 0 2 16397 0
still 601 -37 16442 51 0 -5 16402 0
still 602 -29 16323 -30 0 -1 16392 0
still 603 -31 16437 -39 0 4 16397 0
still 604 21 16337 -2 0 3 16389 0
still 605 133 16355 25 0 -1 16384 0
still 606 -19 16445 22 0 -4 16391 0
still 607 6 16460 46 0 -10 16399 0
still 608 37 16331 -39 0 -4 16390 0
still 609 76 16331 84 0 -14 16382 0
still 610 83 16377 -39 0 -8 16381 0
still 611 -58 16425 28 0 -11 16386 0
still 612 -37 16333 24 0 -13 16379 0
still 613 -31 16382 -75 0 -2 16379 0
still 614 20 16390 -24 0 1 16380 0
still 615 -59 16379 16 0 -2 16379 0
still 616 19 16388 -38 0 3 16380 0
still 617 31 16439 -31 0 6 16387 0
still 618 -63 16454 8 0 4 16395 0
still 619 -95 16423 6 0 2 16398 0
still 620 -37 16385 -56 0 8 16396 0
still 621 -46 16299 52 0 0 16383 0
still 622 -31 16388 11 0 -2 16383 0
still 623 -134 16385 -64 0 6 16383 0
still 624 52 16316 32 0 1 16374 0
still 625 72 16388 42 0 -5 16375 0
still 626 59 16385 -19 0 -2 16376 0
still 627 -78 16467 43 0 -8 16387 0
still 628 25 16293 48 0 -13 16375 0
still 629 -25 16386 11 0 -13 16376 0
still 630 49 16363 -39 0 -7 16374 0
still 631 23 16392 -34 0 -2 16376 0
still 632 99 16435 -82 0 8 16383 0
still 633 -113 16286 -26 0 10 16370 0
still 634 17 16464 4 0 8 16381 0
still 635 -36 16387 -2 0 7 16381 0
still 636 -49 16387 -95 0 18 16381 0
still 637 -21 16403 -14 0 17 16383 0
still 638 23 16434 27 0 11 16389 0
still 639 31 16414 -11 0 11 16392 0
still 640 48 16397 -47 0 15 16392 0
still 641 47 16384 -151 0 32 16391 0
still 642 85 16388 -35 0 32 16390 0
still 643 41 16406 16 0 26 16392 0
still 644 90 16445 -7 0 23 16398 0
still 645 -27 16330 28 0 16 16389 0
still 646 13 16445 18 0 11 16396 0
