case block n60 sum_rr60 bad60 hold drowsy alert
base_skip 73 80 22000 0 0 1 1
base_skip 74 80 22000 30 1 0 0
maxval 0 255 14760 0 1 0 0
maxval 1 255 14760 0 1 0 0
maxval 2 255 14760 0 1 0 0
maxval 3 255 14760 0 1 0 0
maxval 4 255 14760 0 1 0 0
maxval 5 255 14760 0 1 0 0
maxval 6 255 14760 0 1 0 0
maxval 7 255 14760 0 1 0 0
maxval 8 255 14760 0 1 0 0
maxval 9 255 14760 0 1 0 0
maxval 10 255 14760 0 1 0 0
maxval 11 255 14760 0 1 0 0
maxval 12 255 14760 0 1 0 0
maxval 13 255 14760 0 1 0 0
maxval 14 255 14760 0 1 0 0
maxval 15 255 14760 0 1 0 0
maxval 16 255 14760 0 1 0 0
maxval 17 255 14760 0 1 0 0
maxval 18 255 14760 0 1 0 0
maxval 19 255 14760 0 1 0 0
maxval 20 255 14760 0 1 0 0
maxval 21 255 14760 0 1 0 0
maxval 22 255 14760 0 1 0 0
maxval 23 255 14760 0 1 0 0
maxval 24 255 14760 0 1 0 0
maxval 25 255 14760 0 1 0 0
maxval 26 255 14760 0 1 0 0
maxval 27 255 14760 0 1 0 0
maxval 28 255 14760 0 1 0 0
maxval 29 255 14760 0 1 0 0
maxval 30 255 14760 0 1 0 0
maxval 31 255 14760 0 1 0 0
maxval 32 255 14760 0 1 0 0
maxval 33 255 14760 0 1 0 0
maxval 34 255 14760 0 1 0 0
maxval 35 255 14760 0 1 0 0
maxval 36 200 72000 0 0 1 1
maxval 37 200 131071 0 0 1 0
maxval 38 255 131071 0 0 1 0
maxval 39 30 131071 0 0 1 0
repeat 0 80 19200 0 1 0 0
repeat 1 80 19200 0 1 0 0
repeat 2 80 19200 0 1 0 0
repeat 3 80 19200 0 1 0 0
repeat 4 80 19200 0 1 0 0
repeat 5 80 19200 0 1 0 0
repeat 6 80 19200 0 1 0 0
repeat 7 80 19200 0 1 0 0
repeat 8 80 19200 0 1 0 0
repeat 9 80 19200 0 1 0 0
repeat 10 80 19200 0 1 0 0
repeat 11 80 19200 0 1 0 0
repeat 12 80 19200 0 1 0 0
repeat 13 80 19200 0 1 0 0
repeat 14 80 19200 0 1 0 0
repeat 15 80 19200 0 1 0 0
repeat 16 80 19200 0 1 0 0
repeat 17 80 19200 0 1 0 0
repeat 18 80 19200 0 1 0 0
repeat 19 80 19200 0 1 0 0
repeat 20 80 19200 0 1 0 0
repeat 21 80 19200 0 1 0 0
repeat 22 80 19200 0 1 0 0
repeat 23 80 19200 0 1 0 0
repeat 24 80 19200 0 1 0 0
repeat 25 80 19200 0 1 0 0
repeat 26 80 19200 0 1 0 0
repeat 27 80 19200 0 1 0 0
repeat 28 80 19200 0 1 0 0
repeat 29 80 19200 0 1 0 0
repeat 30 80 19200 0 1 0 0
repeat 31 80 19200 0 1 0 0
repeat 32 80 19200 0 1 0 0
repeat 33 80 19200 0 1 0 0
repeat 34 80 19200 0 1 0 0
repeat 35 80 19200 0 1 0 0
repeat 36 80 20763 0 0 1 1
repeat 37 80 20763 0 0 1 0
repeat 38 80 20763 0 0 1 0
repeat 39 80 20763 0 0 1 0
repeat 40 80 20763 0 0 1 0
repeat 41 80 20763 0 0 1 0
repeat 42 80 20763 0 0 1 1
repeat 43 80 20763 0 0 1 0
repeat 44 80 20763 0 0 1 0
repeat 45 80 20763 0 0 1 0
repeat 46 80 20763 0 0 1 0
repeat 47 80 20763 0 0 1 0
repeat 48 80 20763 0 0 1 1
repeat 49 80 20763 0 0 1 0
repeat 50 80 19200 0 0 0 0
repeat 51 80 19200 0 0 0 0
repeat 52 80 20763 0 0 1 0
repeat 53 80 20763 0 0 1 0
repeat 54 80 20763 0 0 1 1
repeat 55 80 19200 0 0 0 0
repeat 56 80 19200 0 0 0 0
repeat 57 80 19200 0 0 0 0
repeat 58 80 19200 0 0 0 0
repeat 59 80 19200 0 0 0 0
repeat 60 80 19200 0 0 0 0
repeat 61 80 19200 0 0 0 0
repeat 62 80 20763 0 0 1 1
repeat 63 10 2400 0 1 0 0
repeat 64 10 2400 0 1 0 0
repeat 65 10 2400 0 1 0 0
repeat 66 10 2400 0 1 0 0
repeat 67 10 2400 0 1 0 0
repeat 68 80 20763 0 0 1 1
repeat 69 80 19200 0 0 0 0
repeat 70 80 19200 0 0 0 0
repeat 71 80 19200 0 0 0 0
repeat 72 80 19200 0 0 0 0
repeat 73 80 20763 0 0 1 0
repeat 74 80 20763 0 0 1 1
